,gameId,playId,playDescription,quarter,possessionTeam,kickerId,returnerId,yardlineSide,yardlineNumber,gameClock,penaltyCodes,penaltyJerseyNumbers,penaltyYards,preSnapHomeScore,preSnapVisitorScore,kickLength,kickReturnYardage,absoluteYardlineNumber,hangTime,kickType,kickDirectionIntended,kickDirectionActual,returnDirectionIntended,returnDirectionActual,missedTackler,assistTackler,tackler,kickoffReturnFormation,specialTeamsSafeties
3974,2019111004,3423,Y.Koo kicks 65 yards from ATL 35 to NO 0. D.Harris ran ob at NO 46 for 46 yards (O.Zaccheaus).,4,ATL,45576.0,48415,ATL,35,14:53:00,NP,NP,0,9,20,65.0,46.0,45,3.98,D,R,R,C,R,ATL 07; ATL 27,Solo,ATL 17,8-0-2,ATL 28; ATL 40
3975,2019111004,3857,Y.Koo kicks 66 yards from ATL 35 to NO -1. D.Harris to NO 20 for 21 yards (J.Graham).,4,ATL,45576.0,48415,ATL,35,07:27:00,NP,NP,0,9,23,66.0,21.0,45,4.1,D,C,C,L,L,returner_tackled,Solo,ATL 87,8-0-2,ATL 27; ATL 28
3976,2019111004,4298,Y.Koo kicks 67 yards from ATL 35 to NO -2. D.Harris to NO 22 for 24 yards (K.Smith). ATL-K.Ishmael was injured during the play.,4,ATL,45576.0,48415,ATL,35,02:32:00,NP,NP,0,9,26,67.0,24.0,45,3.67,D,C,C,C,R,returner_tackled,Solo,ATL 40,8-0-2,ATL 27; ATL 28
3978,2019111005,409,S.Ficken kicks 62 yards from NYJ 35 to NYG 3. C.Latimer to NYG 18 for 15 yards (M.Farley).,1,NYJ,44240.0,41285,NYJ,35,07:21:00,NP,NP,0,7,0,62.0,15.0,75,4.16,D,C,C,C,C,returner_tackled,Solo,NYJ 36,8-0-2,NYJ 20; NYJ 21
3981,2019111005,1565,"A.Rosas kicks 59 yards from NYG 35 to NYJ 6. T.Montgomery to NYJ 27 for 21 yards (J.Love). PENALTY on NYJ-H.Langi, Offensive Holding, 10 yards, enforced at NYJ 27.",2,NYG,43937.0,42437,NYG,35,05:24:00,OH,NYJ 44,10,14,13,59.0,21.0,75,4.31,D,R,R,L,L,returner_tackled,Solo,NYG 24,8-0-2,NYG 30; NYG 34
3985,2019111005,2714,A.Rosas kicks 64 yards from NYG 35 to NYJ 1. T.Montgomery to NYJ 19 for 18 yards (C.Core; D.Downs).,3,NYG,43937.0,42437,NYG,35,05:21:00,NP,NP,0,21,27,64.0,18.0,75,4.25,D,C,C,L,L,returner_tackled,NYG 52,NYG 17,8-0-2,NYG 30; NYG 34
3988,2019111005,3513,S.Ficken kicks 67 yards from NYJ 35 to NYG -2. C.Ballentine to NYG 17 for 19 yards (F.Luvu).,4,NYJ,44240.0,47963,NYJ,35,07:36:00,NP,NP,0,34,27,67.0,19.0,75,4.27,D,R,R,C,C,NYJ 50; NYJ 88; NYJ 93,Solo,NYJ 87,8-0-2,NYJ 20; NYJ 21
3995,2019111006,2261,"B.Pinion kicks 73 yards from TB 35 to ARI -8. P.Cooper to ARI 28 for 36 yards (J.Watson). PENALTY on ARI-T.Sherfield, Offensive Holding, 7 yards, enforced at ARI 14.",2,TB,42508.0,43406,TB,35,00:08:00,OH,ARI 16,7,17,13,73.0,22.0,75,3.88,D,C,C,L,L,TB 52,NT,NT,8-0-2,TB 26; TB 35
3996,2019111006,2334,B.Pinion kicks 68 yards from TB 35 to ARI -3. P.Cooper to ARI 18 for 21 yards (R.Smith).,3,TB,42508.0,43406,TB,35,15:00:00,NP,NP,0,17,13,68.0,21.0,45,4.16,D,C,C,C,C,returner_tackled,Solo,TB 29,8-0-2,TB 26; TB 35
4000,2019111006,3986,Z.Gonzalez kicks 66 yards from ARI 35 to TB -1. T.Logan to TB 16 for 17 yards (C.Washington).,4,ARI,45037.0,44992,ARI,35,07:22:00,NP,NP,0,23,27,66.0,17.0,45,4.13,D,C,C,C,C,returner_tackled,Solo,ARI 28,8-0-2,ARI 25; ARI 27
4002,2019111007,45,R.Succop kicks 64 yards from TEN 35 to KC 1. M.Hardman pushed ob at KC 31 for 30 yards (K.Vaccaro).,1,TEN,34707.0,47839,TEN,35,15:00:00,NP,NP,0,0,0,64.0,30.0,45,3.67,D,R,R,L,L,returner_tackled,Solo,TEN 24,8-0-2,TEN 24; TEN 36
4005,2019111007,1314,"R.Succop kicks 61 yards from TEN 35 to KC 4. M.Hardman to KC 32 for 28 yards (K.Raymond, L.Sims). PENALTY on KC-D.O'Daniel, Offensive Holding, 10 yards, enforced at KC 25.",2,TEN,34707.0,47839,TEN,35,10:23:00,OH,KC 44,10,7,10,61.0,21.0,75,3.79,D,L,L,C,C,TEN 46,NT,NT,8-0-2,TEN 24; TEN 36
4007,2019111007,1834,"H.Butker kicks 65 yards from KC 35 to TEN 0. K.Raymond to TEN 19 for 19 yards (A.Watts; B.Pringle). PENALTY on TEN-J.Smith, Illegal Double-Team Block, 9 yards, enforced at TEN 19.",2,KC,45046.0,43584,KC,35,01:12:00,IDT,TEN 81,9,13,13,65.0,19.0,45,4.38,D,C,C,R,R,NT,NT,NT,8-0-2,KC 22; KC 42
4008,2019111007,2069,"H.Butker kicks 50 yards from KC 35 to TEN 15. K.Raymond to TEN 29 for 14 yards (A.Watts). PENALTY on TEN-J.Smith, Illegal Double-Team Block, 12 yards, enforced at TEN 25.",3,KC,45046.0,43584,KC,35,15:00:00,IDT,TEN 81,12,13,13,50.0,10.0,45,4.36,P,L,L,R,R,NT,NT,NT,8-0-2,KC 13; KC 22
4009,2019111007,2532,H.Butker kicks 56 yards from KC 35 to TEN 9. K.Raymond to TEN 26 for 17 yards (D.Lee).,3,KC,45046.0,43584,KC,35,06:54:00,NP,NP,0,13,19,56.0,17.0,45,4.35,D,C,C,L,L,returner_tackled,Solo,KC 50,8-0-2,KC 22; KC 42
4013,2019111007,3524,R.Succop kicks 59 yards from TEN 35 to KC 6. M.Hardman to KC 26 for 20 yards (A.Hooker).,4,TEN,34707.0,47839,TEN,35,06:26:00,NP,NP,0,27,29,59.0,20.0,45,3.72,D,R,R,C,C,returner_tackled,Solo,TEN 37,8-0-2,TEN 24; TEN 36
4015,2019111007,4185,R.Succop kicks 46 yards from TEN 35 to KC 19. M.Hardman to KC 38 for 19 yards (D.Bates; R.Succop).,4,TEN,34707.0,47839,TEN,35,00:23:00,NP,NP,0,35,32,46.0,19.0,45,0.0,Q,C,C,C,C,TEN 53,Solo,TEN 04,8-0-2,TEN 24; TEN 36
4025,2019111009,153,"G.Zuerlein kicks 62 yards from LA 35 to PIT 3. R.Switzer to PIT 23 for 20 yards (N.Robey, O.Okoronkwo).",1,LA,38701.0,44946,LA,35,14:46:00,NP,NP,0,0,7,62.0,20.0,75,4.2,D,C,C,R,R,returner_tackled,Solo,LA 23,8-0-2,LA 23; LA 31
4026,2019111009,1188,C.Boswell kicks 61 yards from PIT 35 to LA 4. J.Natson to LA 23 for 19 yards (R.Spillane).,1,PIT,41953.0,45150,PIT,35,00:34:00,NP,NP,0,7,7,61.0,19.0,45,4.21,D,R,R,C,C,returner_tackled,Solo,PIT 41,8-0-2,PIT 20; PIT 25
4028,2019111009,2731,C.Boswell kicks 66 yards from PIT 35 to LA -1. J.Natson to LA 26 for 27 yards (K.Kelly).,3,PIT,41953.0,45150,PIT,35,15:00:00,NP,NP,0,14,7,66.0,27.0,45,4.06,D,C,C,C,C,returner_tackled,Solo,PIT 29,8-0-2,PIT 20; PIT 25
4030,2019111009,4025,"J.Berry kicks 66 yards from PIT 20 to LA 14. J.Natson to LA 32 for 18 yards (T.Edmunds, K.Kelly).",4,PIT,42333.0,45150,PIT,20,12:40:00,NP,NP,0,14,12,66.0,18.0,90,4.2,K,L,L,C,C,returner_tackled,Solo,PIT 29,8-0-2,PIT 20; PIT 25
4031,2019111009,4509,C.Boswell kicks 61 yards from PIT 35 to LA 4. J.Natson to LA 34 for 30 yards (K.Kelly).,4,PIT,41953.0,45150,PIT,35,02:46:00,NP,NP,0,17,12,61.0,30.0,75,4.08,D,C,C,C,C,returner_tackled,Solo,PIT 29,8-0-2,PIT 20; PIT 25
4035,2019111010,1411,B.Maher kicks 67 yards from DAL 35 to MIN -2. A.Abdullah to MIN 27 for 29 yards (D.Wilson; C.Goodwin).,2,DAL,40775.0,42397,DAL,35,08:08:00,NP,NP,0,7,14,67.0,29.0,75,4.01,D,C,C,C,C,DAL 49; DAL 83,DAL 37,DAL 29,8-0-2,DAL 31; DAL 38
4041,2019111100,818,M.Wishnowsky kicks 54 yards from SF 35 to SEA 11. T.Lockett to SEA 29 for 18 yards (J.Tartt; D.Reed Jr.).,1,SF,47893.0,42412,SF,35,02:03:00,NP,NP,0,10,0,54.0,18.0,45,3.74,P,L,L,R,R,returner_tackled,SF 29,SF 32,8-0-2,SF 20; SF 29
4043,2019111100,2095,M.Wishnowsky kicks 65 yards from SF 35 to SEA 0. T.Lockett to SEA 22 for 22 yards (E.Lee). SF-A.Al-Shaair was injured during the play.,3,SF,47893.0,42412,SF,35,15:00:00,NP,NP,0,10,7,65.0,22.0,75,4.11,D,C,C,L,L,returner_tackled,Solo,SF 47,8-0-2,SF 20; SF 29
4048,2019111100,4099,J.Myers kicks 61 yards from SEA 35 to SF 4. R.James Jr. to SF 26 for 22 yards (J.Taylor).,4,SEA,41175.0,46309,SEA,35,01:45:00,NP,NP,0,21,24,61.0,22.0,75,4.15,D,L,L,C,C,returner_tackled,Solo,SEA 24,8-0-2,SEA 24; SEA 28
4051,2019111400,35,A.Seibert kicks 59 yards from CLE 35 to PIT 6. T.Brooks-James to PIT 22 for 16 yards (D.Johnson; A.Taylor).,1,CLE,47953.0,48687,CLE,35,15:00:00,NP,NP,0,0,0,59.0,16.0,45,4.17,D,C,C,C,C,CLE 29,CLE 30,CLE 31,8-0-2,CLE 39; CLE 44
4052,2019111400,398,A.Seibert kicks 60 yards from CLE 35 to PIT 5. T.Brooks-James to PIT 21 for 16 yards (T.Davis).,1,CLE,47953.0,48687,CLE,35,11:07:00,NP,NP,0,7,0,60.0,16.0,45,4.21,D,C,C,R,R,returner_tackled,Solo,CLE 55,8-0-2,CLE 31; CLE 39
4054,2019111400,2357,C.Boswell kicks 66 yards from PIT 35 to CLE -1. T.Thomas to CLE 27 for 28 yards (M.Hilton).,3,PIT,41953.0,46672,PIT,35,15:00:00,NP,NP,0,14,0,66.0,28.0,45,3.95,D,C,C,C,C,returner_tackled,PIT 33,PIT 28,8-0-2,PIT 20; PIT 28
4055,2019111400,3027,C.Boswell kicks 61 yards from PIT 35 to CLE 4. T.Thomas to CLE 26 for 22 yards (R.Spillane).,3,PIT,41953.0,46672,PIT,35,05:39:00,NP,NP,0,14,7,61.0,22.0,45,4.31,D,R,R,C,C,returner_tackled,Solo,PIT 41,8-0-2,PIT 20; PIT 28
4057,2019111700,38,J.Tucker kicks 58 yards from BAL 35 to HOU 7. D.Carter to HOU 32 for 25 yards (D.Thomas).,1,BAL,39470.0,42794,BAL,35,15:00:00,NP,NP,0,0,0,58.0,25.0,45,3.9,D,C,C,L,L,returner_tackled,Solo,BAL 16,8-0-2,BAL 16; BAL 34
4060,2019111700,2324,K.Fairbairn kicks 58 yards from HOU 35 to BAL 7. D.Thomas to BAL 22 for 15 yards (K.Crossen).,3,HOU,43846.0,41353,HOU,35,15:00:00,NP,NP,0,14,0,58.0,15.0,45,3.88,D,L,L,C,C,returner_tackled,Solo,HOU 35,8-0-2,HOU 30; HOU 37
4064,2019111700,3846,J.Tucker kicks 59 yards from BAL 35 to HOU 6. D.Carter to HOU 23 for 17 yards (C.Board).,4,BAL,39470.0,42794,BAL,35,09:50:00,NP,NP,0,34,0,59.0,17.0,45,4.08,D,C,C,L,L,returner_tackled,Solo,BAL 49,8-0-2,BAL 16; BAL 34
4065,2019111700,4055,K.Fairbairn kicks 53 yards from HOU 35 to BAL 12. D.Thomas to BAL 13 for 1 yard (B.Mingo).,4,HOU,43846.0,41353,HOU,35,07:10:00,NP,NP,0,34,7,53.0,1.0,75,4.03,P,R,R,R,C,returner_tackled,Solo,HOU 52,8-0-2,HOU 30; HOU 37
4066,2019111700,4287,J.Tucker kicks 63 yards from BAL 35 to HOU 2. D.Carter to HOU 30 for 28 yards (A.Averett).,4,BAL,39470.0,42794,BAL,35,04:01:00,NP,NP,0,41,7,63.0,28.0,45,3.92,D,C,C,R,R,returner_tackled,Solo,BAL 34,8-0-2,BAL 16; BAL 34
4070,2019111701,1447,Y.Koo kicks 62 yards from ATL 35 to CAR 3. D.White to CAR 26 for 23 yards (K.Smith; S.Neasman).,2,ATL,45576.0,42607,ATL,35,05:42:00,NP,NP,0,0,13,62.0,23.0,75,3.82,D,C,C,L,L,returner_tackled,ATL 40,ATL 41,8-0-2,ATL 33; ATL 40
4071,2019111701,1875,"Y.Koo kicks 68 yards from ATL 35 to CAR -3. D.White to CAR 18 for 21 yards (K.Smith; J.Grace). PENALTY on CAR-A.Armah, Illegal Block Above the Waist, 9 yards, enforced at CAR 17.",2,ATL,45576.0,42607,ATL,35,01:34:00,IBW,CAR 40,9,0,20,68.0,20.0,75,3.87,D,R,R,C,C,NT,NT,NT,8-0-2,ATL 27; ATL 33
4072,2019111701,2279,Y.Koo kicks 66 yards from ATL 35 to CAR -1. D.White to CAR 24 for 25 yards (J.Grace; K.Smith).,3,ATL,45576.0,42607,ATL,35,15:00:00,NP,NP,0,0,20,66.0,25.0,45,3.85,D,C,C,R,R,returner_tackled,ATL 53,ATL 40,8-0-2,ATL 27; ATL 33
4077,2019111702,273,M.Prater kicks 69 yards from DET 35 to DAL -4. T.Pollard to DAL 14 for 18 yards (J.Reeves-Maybin).,1,DET,31446.0,47911,DET,35,12:33:00,NP,NP,0,7,0,69.0,18.0,75,4.12,D,C,C,C,C,returner_tackled,Solo,DET 44,8-0-2,DET 24; DET 27
4081,2019111702,1884,"B.Maher kicks 69 yards from DAL 35 to DET -4. J.Agnew to DET 31 for 35 yards (B.Jones). PENALTY on DET-C.Moore, Offensive Holding, 10 yards, enforced at DET 25.",2,DAL,40775.0,44978,DAL,35,04:37:00,OH,DET 49,10,14,17,69.0,29.0,75,4.08,D,C,C,C,C,DAL 37,NT,NT,8-0-2,DAL 23; DAL 31
4085,2019111702,2950,B.Maher kicks 67 yards from DAL 35 to DET -2. J.Agnew to DET 18 for 20 yards (J.March-Lillard).,3,DAL,40775.0,44978,DAL,35,05:00:00,NP,NP,0,21,27,67.0,20.0,45,4.06,D,C,C,R,R,returner_tackled,Solo,DAL 53,8-0-2,DAL 23; DAL 25
4086,2019111702,3758,B.Maher kicks 69 yards from DAL 35 to DET -4. J.Agnew to DET 25 for 29 yards (J.Olawale). DET-J.Agnew was injured during the play. His return is Questionable.,4,DAL,40775.0,44978,DAL,35,07:56:00,NP,NP,0,21,35,69.0,29.0,75,4.18,D,C,C,C,C,returner_tackled,Solo,DAL 49,8-0-2,DAL 23; DAL 25
4087,2019111703,36,R.Sanchez kicks 67 yards from IND 35 to JAX -2. M.Walker to JAX 21 for 23 yards (R.Milligan).,1,IND,45153.0,48504,IND,35,15:00:00,NP,NP,0,0,0,67.0,23.0,75,4.0,D,L,L,R,R,returner_tackled,IND 49,IND 42,8-0-2,IND 34; IND 39
4088,2019111703,476,L.Cooke kicks 66 yards from JAX 35 to IND -1. N.Hines to IND 24 for 25 yards (A.Calitro).,1,JAX,46316.0,46173,JAX,35,06:53:00,NP,NP,0,0,7,66.0,25.0,45,3.61,D,L,L,R,R,JAX 13; JAX 55,Solo,JAX 58,8-0-2,JAX 42
4091,2019111703,2090,L.Cooke kicks 61 yards from JAX 35 to IND 4. N.Hines to IND 23 for 19 yards (D.Payne).,3,JAX,46316.0,46173,JAX,35,15:00:00,NP,NP,0,10,7,61.0,19.0,75,4.06,D,R,R,L,L,returner_tackled,Solo,JAX 54,8-0-2,JAX 40; JAX 42
4095,2019111703,3981,L.Cooke kicks 64 yards from JAX 35 to IND 1. C.Rogers to IND 11 for 10 yards (C.Davis).,4,JAX,46316.0,43556,JAX,35,00:59:00,NP,NP,0,33,13,64.0,10.0,45,4.14,D,C,C,L,L,returner_tackled,Solo,JAX 22,8-0-2,JAX 40; JAX 42
4097,2019111704,215,"S.Hauschka kicks 60 yards from BUF 35 to MIA 5. J.Grant pushed ob at MIA 18 for 13 yards (J.Johnson). PENALTY on MIA-C.Walford, Illegal Block Above the Waist, 9 yards, enforced at MIA 18.",1,BUF,33469.0,43475,BUF,35,12:04:00,IBW,MIA 87,9,0,3,60.0,13.0,75,4.0,D,L,L,R,R,NT,NT,NT,8-0-2,BUF 21
4098,2019111704,651,S.Hauschka kicks 64 yards from BUF 35 to MIA 1. J.Grant pushed ob at MIA 25 for 24 yards (K.Johnson).,1,BUF,33469.0,43475,BUF,35,04:29:00,NP,NP,0,0,6,64.0,24.0,75,3.82,D,C,C,C,R,returner_tackled,Solo,BUF 29,8-0-2,BUF 21; BUF 29
4099,2019111704,1044,"S.Hauschka kicks 56 yards from BUF 35 to MIA 9. J.Grant to MIA 20 for 11 yards (S.Perry). PENALTY on MIA-C.Walford, Illegal Double-Team Block, 10 yards, enforced at MIA 20.",2,BUF,33469.0,43475,BUF,35,13:09:00,IDT,MIA 87,10,0,13,56.0,11.0,45,4.06,P,R,R,L,L,NT,NT,NT,8-0-2,BUF 21; BUF 29
4102,2019111704,2047,"S.Hauschka kicks 66 yards from BUF 35 to MIA -1. J.Grant for 101 yards, TOUCHDOWN.",2,BUF,33469.0,43475,BUF,35,01:23:00,NP,NP,0,7,23,66.0,101.0,45,3.99,D,R,R,C,R,BUF 92,NT,NT,8-0-2,BUF 21; BUF 29
4106,2019111704,3222,J.Sanders kicks 71 yards from MIA 35 to BUF -6. A.Roberts to BUF 38 for 44 yards (J.Sanders).,4,MIA,46298.0,35527,MIA,35,14:35:00,NP,NP,0,20,30,71.0,44.0,45,3.8,D,C,C,C,C,returner_tackled,Solo,MIA 07,8-0-2,MIA 33; MIA 48
4107,2019111704,3486,S.Hauschka kicks 64 yards from BUF 35 to MIA 1. J.Grant to 50 for 49 yards (D.Johnson).,4,BUF,33469.0,43475,BUF,35,10:38:00,NP,NP,0,20,37,64.0,49.0,75,3.78,D,C,C,L,L,returner_tackled,Solo,BUF 92,8-0-2,BUF 21; BUF 29
4110,2019111705,700,B.McManus kicks 66 yards from DEN 35 to MIN -1. A.Abdullah to MIN 22 for 23 yards (J.Jewell).,1,DEN,40276.0,42397,DEN,35,04:39:00,NP,NP,0,0,10,66.0,23.0,75,4.13,D,C,C,C,C,returner_tackled,Solo,DEN 47,8-0-2,DEN 26; DEN 34
4112,2019111705,1920,"B.McManus kicks 68 yards from DEN 35 to MIN -3. A.Abdullah to MIN 16 for 19 yards (W.Parks; D.Booker). FUMBLES (W.Parks), RECOVERED by DEN-J.Jewell at MIN 17. J.Jewell to MIN 17 for no gain (C.Ham).",2,DEN,40276.0,42397,DEN,35,01:06:00,NP,NP,0,0,20,68.0,19.0,45,3.95,D,C,C,C,C,DEN 43,Solo,DEN 34,8-0-2,DEN 26; DEN 34
4118,2019111705,3779,D.Bailey kicks 67 yards from MIN 35 to DEN -2. D.Spencer ran ob at DEN 40 for 42 yards (Mac.Alexander).,4,MIN,38134.0,42051,MIN,35,06:01:00,NP,NP,0,27,23,67.0,42.0,45,4.15,D,C,C,L,L,returner_tackled,Solo,MIN 20,8-0-2,MIN 20; MIN 21
4121,2019111706,757,W.Lutz kicks 65 yards from NO 35 to TB 0. T.Logan to TB 16 for 16 yards (C.Robertson).,1,NO,43689.0,44992,NO,35,00:50:00,NP,NP,0,0,6,65.0,16.0,75,4.05,D,C,C,C,C,returner_tackled,Solo,NO 52,8-0-2,NO 22; NO 24
4129,2019111707,340,S.Ficken kicks 62 yards from NYJ 35 to WAS 3. S.Sims to WAS 27 for 24 yards (F.Luvu; D.Brown).,1,NYJ,44240.0,48051,NYJ,35,11:50:00,NP,NP,0,0,6,62.0,24.0,45,4.06,D,C,C,C,C,returner_tackled,Solo,NYJ 50,8-0-2,NYJ 20; NYJ 37
4130,2019111707,1105,"S.Ficken kicks 64 yards from NYJ 35 to WAS 1. S.Sims to WAS 34 for 33 yards (S.Ficken). PENALTY on WAS-J.Harvey-Clemons, Offensive Holding, 10 yards, enforced at WAS 31.",2,NYJ,44240.0,48051,NYJ,35,14:01:00,OH,WAS 40,10,0,13,64.0,30.0,75,3.72,D,C,C,C,C,NYJ 49,NT,NT,8-0-2,NYJ 20; NYJ 37
4131,2019111707,1439,"D.Hopkins kicks 65 yards from WAS 35 to NYJ 0. V.Smith to NYJ 27 for 27 yards (R.Anderson). FUMBLES (R.Anderson), RECOVERED by WAS-W.Smallwood at NYJ 27.",2,WAS,40125.0,46815,WAS,35,09:05:00,NP,NP,0,3,13,65.0,27.0,45,3.0,D,C,C,C,C,returner_tackled,Solo,WAS 52,8-0-1,WAS 30; WAS 31
4132,2019111707,2177,"S.Ficken kicks 62 yards from NYJ 35 to WAS 3. S.Sims to WAS 29 for 26 yards (T.Montgomery). FUMBLES (T.Montgomery), recovered by WAS-W.Smallwood at WAS 30.",2,NYJ,44240.0,48051,NYJ,35,00:36:00,NP,NP,0,3,20,62.0,26.0,75,4.01,D,L,L,C,C,NYJ 09; NYJ 50,Solo,NYJ 88,8-0-2,NYJ 20; NYJ 37
4133,2019111707,2358,S.Ficken kicks 65 yards from NYJ 35 to WAS 0. S.Sims to WAS 19 for 19 yards (B.Bello).,3,NYJ,44240.0,48051,NYJ,35,15:00:00,NP,NP,0,3,20,65.0,19.0,75,3.71,D,C,C,C,C,returner_tackled,Solo,NYJ 49,8-0-2,NYJ 20; NYJ 37
4134,2019111707,3352,"S.Ficken kicks 63 yards from NYJ 35 to WAS 2. S.Sims to WAS 26 for 24 yards (B.Bello). PENALTY on WAS-J.Harvey-Clemons, Offensive Holding, 10 yards, enforced at WAS 21.",4,NYJ,44240.0,48051,NYJ,35,13:11:00,OH,WAS 40,10,3,27,63.0,19.0,45,4.03,D,C,C,C,C,NT,NT,NT,8-0-2,NYJ 20; NYJ 37
4135,2019111707,3472,S.Ficken kicks 59 yards from NYJ 35 to WAS 6. S.Sims to WAS 31 for 25 yards (V.Smith).,4,NYJ,44240.0,48051,NYJ,35,12:15:00,NP,NP,0,3,34,59.0,25.0,45,4.08,D,C,C,L,L,returner_tackled,Solo,NYJ 17,8-0-2,NYJ 20; NYJ 37
4136,2019111707,3670,D.Hopkins kicks 51 yards from WAS 35 to NYJ 14. B.Berrios pushed ob at NYJ 27 for 13 yards (C.Sims).,4,WAS,40125.0,46279,WAS,35,09:59:00,NP,NP,0,11,34,51.0,13.0,75,3.84,P,R,R,L,L,returner_tackled,Solo,WAS 89,10-0-0,WAS 30
4140,2019111708,893,Z.Gonzalez kicks 59 yards from ARI 35 to SF 6. R.James Jr. to SF 27 for 21 yards (J.Walker).,1,ARI,45037.0,46309,ARI,35,04:04:00,NP,NP,0,0,9,59.0,21.0,75,4.09,D,R,R,L,C,returner_tackled,Solo,ARI 59,8-0-2,ARI 25; ARI 27
4142,2019111708,1704,M.Wishnowsky kicks 65 yards from SF 35 to ARI 0. P.Cooper to ARI 19 for 19 yards (D.Reed Jr.).,2,SF,47893.0,43406,SF,35,07:52:00,NP,NP,0,7,16,65.0,19.0,75,4.11,D,C,C,C,C,returner_tackled,Solo,SF 32,8-0-2,SF 20; SF 23
4145,2019111708,3602,M.Wishnowsky kicks 65 yards from SF 35 to ARI 0. P.Cooper to ARI 22 for 22 yards (J.Ward).,4,SF,47893.0,43406,SF,35,12:14:00,NP,NP,0,23,19,65.0,22.0,45,3.98,D,C,C,C,C,returner_tackled,Solo,SF 20,8-0-2,SF 23; SF 47
4146,2019111708,3947,Z.Gonzalez kicks 59 yards from ARI 35 to SF 6. R.James Jr. pushed ob at SF 33 for 27 yards (C.Jones).,4,ARI,45037.0,46309,ARI,35,06:30:00,NP,NP,0,23,26,59.0,27.0,75,4.08,P,C,C,L,L,returner_tackled,Solo,ARI 25,8-0-2,ARI 25; ARI 27
4151,2019111709,1794,"D.Carlson kicks 68 yards from OAK 35 to CIN -3. B.Wilson to CIN 35 for 38 yards (D.Carlson, D.Carrier).",2,OAK,46236.0,45020,OAK,35,01:37:00,NP,NP,0,14,7,68.0,38.0,75,4.45,D,C,C,R,R,returner_tackled,Solo,OAK 08,8-0-2,OAK 25; OAK 27
4157,2019111710,1097,J.Elliott kicks 66 yards from PHI 35 to NE -1. B.Bolden to NE 24 for 25 yards (C.James).,2,PHI,44966.0,39212,PHI,35,12:36:00,NP,NP,0,10,0,66.0,25.0,45,3.95,D,C,C,R,R,PHI 50,Solo,PHI 39,8-0-2,PHI 23; PHI 37
4161,2019111710,2289,J.Elliott kicks 66 yards from PHI 35 to NE -1. B.Bolden to NE 16 for 17 yards (C.James).,3,PHI,44966.0,39212,PHI,35,15:00:00,NP,NP,0,10,9,66.0,17.0,75,4.09,D,C,C,R,R,returner_tackled,Solo,PHI 39,8-0-2,PHI 23; PHI 37
4162,2019111710,2559,J.Bailey kicks 65 yards from NE 35 to PHI 0. B.Scott to PHI 26 for 26 yards (C.Winovich).,3,NE,47946.0,46270,NE,35,10:49:00,NP,NP,0,10,17,65.0,26.0,45,4.15,D,C,C,C,C,returner_tackled,Solo,NE 50,8-0-2,NE 32; NE 34
4163,2019111711,54,G.Zuerlein kicks 72 yards from LA 35 to CHI -7. C.Patterson ran ob at CHI 29 for 36 yards (D.Long).,1,LA,38701.0,39975,LA,35,15:00:00,NP,NP,0,0,0,72.0,36.0,75,4.3,D,C,C,R,R,returner_tackled,Solo,LA 33,8-0-2,LA 25; LA 38
4167,2019111711,3643,"G.Zuerlein kicks 73 yards from LA 35 to CHI -8. C.Patterson to CHI 25 for 33 yards (M.Christian). PENALTY on CHI-J.Vaughters, Offensive Holding, 10 yards, enforced at CHI 25.",4,LA,38701.0,39975,LA,35,03:31:00,OH,CHI 93,10,17,7,73.0,33.0,45,3.87,D,C,C,R,C,LA 38; LA 51,Solo,LA 26,8-0-2,LA 25; LA 38
4168,2019111800,38,H.Butker kicks 67 yards from KC 35 to LAC -2. D.King to LAC 23 for 25 yards (B.Pringle; A.Sherman).,1,KC,45046.0,44964,KC,35,15:00:00,NP,NP,0,0,0,67.0,25.0,45,4.17,D,C,C,L,L,returner_tackled,KC 42,KC 13,8-0-1,KC 22; KC 42
4174,2019111800,2514,H.Butker kicks 62 yards from KC 35 to LAC 3. T.Pope to LAC 22 for 19 yards (A.Watts).,3,KC,45046.0,44286,KC,35,09:29:00,NP,NP,0,9,17,62.0,19.0,75,4.11,D,C,C,R,R,returner_tackled,KC 50,KC 23,8-0-1,KC 12; KC 22
4178,2019112100,943,"K.Fairbairn kicks 65 yards from HOU 35 to IND 0. N.Hines to IND 19 for 19 yards (P.Kalambayi). PENALTY on IND-J.Wilkins, Illegal Block Above the Waist, 9 yards, enforced at IND 18.",2,HOU,43846.0,46173,HOU,35,13:42:00,IBW,IND 20,9,3,0,65.0,18.0,75,4.08,D,C,C,C,R,HOU 36; HOU 44,NT,NT,8-0-2,HOU 30; HOU 51
4180,2019112100,1685,K.Fairbairn kicks 59 yards from HOU 35 to IND 6. N.Hines to IND 24 for 18 yards (T.Jones). HOU-D.Cole was injured during the play. His return is Questionable.,2,HOU,43846.0,46173,HOU,35,01:53:00,NP,NP,0,10,7,59.0,18.0,75,4.21,D,R,R,L,L,HOU 51,Solo,HOU 34,8-0-2,HOU 30; HOU 51
4201,2019112401,2036,B.McManus kicks 49 yards from DEN 35 to BUF 16. A.Roberts pushed ob at BUF 41 for 25 yards (F.Brown).,3,DEN,40276.0,35527,DEN,35,15:00:00,NP,NP,0,6,0,49.0,25.0,75,3.97,P,C,C,C,L,DEN 26,Solo,DEN 19,8-0-2,DEN 26; DEN 34
